ITEM NO.,UNITS,LS UNITS,DESCRIPTION
005-6061,EA,,"MEDIUM INTENSITY GLOBE, CLAMPS, FAA SPEC L-861"
005-6062,EA,,"MEDIUM INTENSITY FIXTURE COLUMN, FAA SPEC L-861"
005-6063,EA,,"GASKET FOR LENS, FAA SPECS L-861"
005-6064,EA,,"FRANGIBLE COUPLING, FAA SPEC L-861"
005-6070,EA,,"MONITOR, ALARM RECEIVER"
005-6071,EA,,"CONSTANT CURRENT REGULATORS, FAA SPEC L-828"
005-6072,EA,,FIXTURE SOCKET
005-6073,EA,,STAKE ASSEMBLY
005-6074,EA,,"ISOLATION TRANSFORMERS, FAA SPEC L-830/L-831"
005-6075,LS,,SEGMENTED CIRCLE
005-6080,EA,,WIND SOCK
005-6085,EA,,"WIND CONE, IN PLACE, FAA SPEC L-107"
005-6086,LS,,"SCRAPE AND PAINT WIND CONE, FAA SPEC L-107"
005-6088,EA,,LAMPS -
005-6090,LS,,EXTENDED POWER SOURCE
005-6091,LS,,SYMMETRICAL T ANTENNA SYSTEM
005-6092,LS,,MAST ANTENNA SYSTEM
005-6093,LS,,AUTOMATIC WEATHER OBSERVATION SYSTEM -
005-6094,LS,,"GLIDE SLOPE TRANSMITTER WITH ANTENNA, INSTALLED, COMPLETE"
005-6095,LS,,"DISTANCE MEASURING EQUIPMENT, INSTALLED, COMPLETE"
005-6096,LS,,"LOCALIZER, INSTALLED, COMPLETE"
005-6097,LS,,BLAST PADS
006-1000,*,,PRELIMINARY ENGINEERING
006-1500,*,,PRELIMINARY ENGINEERING CONTINGENCY
006-2000,*,,PRELIM ENGR BY CONSULTANT
007-0010,*,,RIGHT-OF-WAY ACQUISITION AND INCIDENTAL (NON-PART)
007-1000,*,,RIGHT OF WAY ACQUISITION
007-1500,*,,RIGHT OF WAY CONTINGENCY
007-2000,*,,RIGHT OF WAY INCIDENTAL
007-3000,*,,RIGHT-OF-WAY RELOCATION ASSISTANCE
007-5000,*,,RIGHT-OF-WAY - LAST RESORT HOUSING
009-1000,LB,,HAUL PRECAST BARRIER
009-1010,HR,,UNLOAD PRECAST BARRIER
009-1020,HR,,REMOBILIZATION
009-1100,LM,,"RAINLINE THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, WHITE"
009-1101,LM,,"RAINLINE THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, YELLOW"
009-1102,GLM,,"RAINLINE THERMOPLASTIC SKIP TRAFFIC STRIPE, 5 IN, WHITE"
009-1200,LM,* * * Requires Special Provision * * *,"GULFLINE THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, WHITE"
009-1201,LM,* * * Requires Special Provision * * *,"GULFLINE THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, YELLOW"
009-1202,GLM,* * * Requires Special Provision * * *,"GULFLINE THERMOPLASTIC SKIP TRAFFIC STRIPE, 5 IN, WHITE"
009-1300,LM,* * * Requires Special Provision * * *,"VIBRALINE RAISED RIB THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 I N, WHITE"
009-1301,LM,* * * Requires Special Provision * * *,"VIBRALINE RAISED RIB THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 I N, YELLOW"
009-1302,GLM,* * * Requires Special Provision * * *,"VIBRALINE RAISED RIB THERMOPLASTIC SKIP TRAFFIC STRIPE, 5 IN , WHITE"
009-2000,LS,,LANDSCAPING WITH IRRIGATION
009-2001,LS,,PROVIDE ENTRANCE
009-2002,LS,,BACKFILL PLANTER
009-2003,LS,,MODIFY FENCE
009-3000,LS,* * * Requires Special Provision * * *,MISCELLANEOUS CONSTRUCTION
009-3500,LS,,MISCELLANEOUS LANDSCAPE ITEMS
107-1000,EA,,"ECOLOGIST PREQUALIFIED IN AREA CLASS 1.06 (H), BAT INSPECTIONS, BR NO -"
108-1000,DAY,,LIQUIDATED DAMAGES PER DAY
108-2000,HR,,LIQUIDATED DAMAGES PER HOUR
109-0100,*$*,* * * Requires Special Provision * * *,PRICE ADJUSTMENT - UNLEADED FUEL
109-0200,*$*,* * * Requires Special Provision * * *,PRICE ADJUSTMENT - DIESEL FUEL
109-0300,*$*,* * * Requires Special Provision * * *,PRICE ADJUSTMENT - ASPHALT CEMENT
109-2010,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, UNL FUEL, (UNCLASS EXCAV - 205)"
109-2020,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, DIESEL , (UNCLASS EXCAV - 205)"
109-2030,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, UNL FUEL, (BORROW EXCAV - 206)"
109-2040,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, DIESEL, (BORROW EXCAV - 206)"
109-2050,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, UNL FUEL, (GR AGGR BASE - 310)"
109-2060,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, DIESEL, (GR AGGR BASE - 310)"
109-2070,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, UNL FUEL, (ASPH CONC - 400)"
109-2080,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, DIESEL (ASPH CONC - 400)"
109-2090,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, UNL FUEL, (RECYCLED ASPH CONC - 402)"
109-2100,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, DIESEL, (RECYCLED ASPH CONC - 402)"
109-2110,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, UNL FUEL, (PC CONC PVMT - 430)"
109-2120,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, DIESEL, (PC CONC PVMT - 430)"
109-2305,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, UNL FUEL (BRIDGE)"
109-2310,*$*,* * * Requires Special Provision * * *,"FUEL PRICE ADJUSTMENT, DIESEL, (BRIDGE)"
110-1000,LS,,ELECTRONIC DELIVERY MANAGEMENT SYSTEM - ASPHALT
110-2000,LS,,ELECTRONIC DELIVERY MANAGEMENT SYSTEM - AGGREGATE
110-3000,LS,,ELECTRONIC DELIVERY MANAGEMENT SYSTEM - CONCRETE
148-1000,WD,* * * Requires Special Provision * * *,PILOT VEHICLE
149-0000,$,,SEC 149 CONSTRUCTION LAYOUT (X-SECTIONS)
149-0100,LS,* * * Requires Special Provision * * *,CONTRACTOR CERTIFIED CROSS SECTIONS
150-0001,LS,,"TRAFFIC CONTROL, NON-REFUNDABLE DEDUCTIONS"
150-0002,EA,,"TRAFFIC CONTROL, NON-REFUNDABLE DEDUCTIONS"
150-0005,LS,* * * Requires Special Provision * * *,"MAINT OF TRAF, TEMP OVHD BRIDGE MOUNTED SIGN, FLASHING BEACON, NO -"
150-0006,LS,* * * Requires Special Provision * * *,"MAINT OF TRAF, TEMP GROUND MOUNTED SIGN, FLASHING BEACON, NO -"
150-0008,EA,* * * Requires Special Provision * * *,"REMOVE AND RESET EXISTING SPCL GUIDE SIGN, GROUND MOUNTED, COMPLETE-IN-PLACE"
150-0009,EA,,"REMOVE AND RESET EXIST SPCL GUIDE SIGNS, OVERHEAD, COMPLETE-IN-PLACE"
150-0010,SY,* * * Requires Special Provision * * *,"TRAFFIC CONTROL, THERMOPLASTIC TRAFFIC STRIPING, WHITE"
150-0020,SY,* * * Requires Special Provision * * *,"TRAFFIC CONTROL, THERMOPLASTIC TRAFFIC STRIPING, YELLOW"
150-0030,EA,* * * Requires Special Provision * * *,"TRAFFIC CONTROL, THERMOPLASTIC PAVEMENT MARKING, WORDS AND SYMBOLS"
150-0220,EA,,"TRAFFIC CONTROL, RAISED PAVEMENT MARKERS, ALL TYPES"
150-0224,LM,,"TRAFFIC CONTROL, SOLID TRAFFIC STRIPE, 5 IN, WHITE"
150-0227,LM,,"TRAFFIC CONTROL,SOLID TRAFFIC STRIPE,5 IN,YELLOW"
150-0230,GLM,,"TRAFFIC CONTROL,SKIP TRAFFIC STRIPE,5 IN,WHITE"
150-0250,LF,,"TRAFFIC CONTROL, SOLID TRAFFIC STRIPE, THERMOPLASTIC, 24 IN WHITE"
150-1000,LS,,TRAFFIC CONTROL -
150-2000,LS,,TRAFFIC CONTROL - MOBILE SPEED NOTIFICATION SYSTEM
150-3110,MI,* * * County Contracts Only * * *,TRAFFIC CONTROL FOR (LAR/LAU) -
150-3200,LF,* * * Requires Special Provision * * *,TEMPORARY TRAFFIC STRIPE TAPE -
150-4000,EA,* * * Requires Special Provision * * *,PLASTIC TRAFFIC CONTROL DRUM -
150-4001,LF,* * * Requires Special Provision * * *,TEMPORARY WATER FILLED SAFETY BARRIER
150-4002,EA,* * * Requires Special Provision * * *,TRAFFIC CONES -
150-4003,LS,* * * Requires Special Provision * * *,"TRAFFIC CONTROL, RAMP MODIFICATION -"
150-5010,EA,* * * Requires Type * * *,"TRAFFIC CONTROL, PORTABLE IMPACT ATTENUATOR"
150-6000,LS,* * * Requires Special Provision * * *,"INSTALL, MAINTAIN, AND REMOVE TEMPORARY RUMBLE STRIPS"
150-7000,LF,,TEMPORARY WALKWAYS WITH DETECTABLE EDGING
150-7005,EA,,TEMPORARY AUDIBLE INFORMATION DEVICE
150-7010,EA,,"TEMPORARY CURB CUT, WHEELCHAIR RAMPS"
150-8200,EA,,SINGLE LANE CLOSURES -
150-8250,EA,,MULTILANE CLOSURES
150-9000,EA,* * * Requires Special Provision * * *,"TRAFFIC CONTROL, CELLULAR TELEPHONE/2-WAY RADIO"
150-9001,EA,* * * Requires Special Provision * * *,"TRAFFIC CONTROL, ELECTRONIC PAGERS"
150-9011,HR,* * * Requires Special Provision * * *,TRAFFIC CONTROL - WORKZONE LAW ENFORCEMENT (CONTRACTOR BIDS)
150-9110,EA,* * * Requires Special Provision * * *,TRAFFIC CONTROL - INSTALL AND REMOVE EMERGENCY EVACUATION PLAN
150-9120,DAY,* * * Requires Special Provision * * *,TRAFFIC CONTROL - MAINTAIN EMERGENCY EVACUATION PLAN
151-1000,LS,,MOBILIZATION -
152-1000,EA,,FIELD LABORATORY
152-1100,LS,* * * Requires Special Provision * * *,SUPERPAVE LABORATORY EQUIPMENT
153-1300,EA,,FIELD ENGINEERS OFFICE TP 3
153-1400,EA,,FIELD ENGINEERS OFFICE TP 5
154-1000,LS,* * * Requires Special Provision * * *,CONSTRUCTION VIBRATION MONITORING
156-0100,LS,* * * Requires Special Provision * * *,GPS DATA COLLECTION AND SUBMITTAL
158-1000,HR,,TRAINING HOURS
160-1200,AC,,"AREA RECLAMATION, PINE SEEDLINGS"
160-1500,AC,,"AREA RECLAMATION, SEEDING"
160-1600,AC,,"AREA RECLAMATION, SPRIGGING"
160-2000,LS,* * * Requires Special Provision * * *,AREA RECLAMATION - SPECIAL
161-1000,EA,,"INSTALL, MAINTAIN, AND REMOVE IMPAIRED STREAM PROJECT INFO SIGN"
163-0001,LS,,"EROSION CONTROL, NON-REFUNDABLE DEDUCTIONS"
163-0002,EA,,"EROSION CONTROL, NON-REFUNDABLE DEDUCTIONS"
163-0232,AC,,TEMPORARY GRASSING
163-0240,TN,,MULCH
163-0301,EA,,CONSTRUCT AND REMOVE CONSTRUCTION EXITS
163-0310,EA,,CONSTRUCTION EXIT TIRE CLEANING STATION (PER DAY)
163-0501,EA,,"CONSTRUCT AND REMOVE SILT CONTROL GATE, TP 1"
163-0502,EA,,"CONSTRUCT AND REMOVE SILT CONTROL GATE, TP 2"
163-0503,EA,,"CONSTRUCT AND REMOVE SILT CONTROL GATE, TP 3"
163-0520,LF,,CONSTRUCT AND REMOVE TEMPORARY PIPE SLOPE DRAIN
163-0525,EA,,CONSTRUCT AND REMOVE TEMPORARY EROSION CONTROL STRUCTURE
163-0527,EA,,"CONSTRUCT AND REMOVE RIP RAP CHECK DAMS, STONE PLAIN RIP RAP/SAND BAGS"
163-0528,LF,,CONSTRUCT AND REMOVE FABRIC CHECK DAM -  TYPE C SILT FENCE
163-0529,LF,,CONSTRUCT AND REMOVE TEMPORARY SEDIMENT BARRIER  OR BALED STRAW CHECK DAM
163-0531,EA,,"CONSTRUCT AND REMOVE SEDIMENT BASIN, TP 1, STA NO -"
163-0535,EA,,"CONSTRUCT AND REMOVE TEMPORARY SEDIMENT TRAP, STA NO -"
163-0539,EA,,CONSTRUCT AND REMOVE RETROFIT-SLOTTED BOARD DAM W/STONE FILTER
163-0540,EA,,"CONSTRUCT AND REMOVE RETROFIT, STA NO -"
163-0541,EA,,CONSTRUCT AND REMOVE ROCK FILTER DAMS
163-0542,EA,,CONSTRUCT AND REMOVE STONE FILTER RING
163-0543,LF,,CONSTRUCT AND REMOVE STONE FILTER BERM
163-0550,EA,,CONSTRUCT AND REMOVE INLET SEDIMENT TRAP
163-1915,LF,* * * Requires Special Provision * * *,"CONSTRUCT AND REMOVE COMPOST FILTER SOCK, 8 IN"
163-1925,LF,* * * Requires Special Provision * * *,"CONSTRUCT AND REMOVE COMPOST FILTER SOCK, 12 IN"
163-1930,LF,* * * Requires Special Provision * * *,"CONSTRUCT AND REMOVE COMPOST FILTER SOCK, 18 IN"
163-1935,LF,* * * Requires Special Provision * * *,"CONSTRUCT AND REMOVE COMPOST FILTER SOCK, 24 IN"
165-0010,LF,,"MAINTENANCE OF TEMPORARY SILT FENCE, TP A"
165-0020,LF,,"MAINTENANCE OF TEMPORARY SILT FENCE, TP B"
165-0030,LF,,"MAINTENANCE OF TEMPORARY SILT FENCE, TP C"
165-0041,LF,,MAINTENANCE OF CHECK DAMS - ALL TYPES
165-0050,LF,,MAINTENANCE OF SILT RETENTION BARRIER
165-0060,EA,,"MAINTENANCE OF TEMPORARY SEDIMENT BASIN, STA NO -"
165-0071,LF,,MAINTENANCE OF SEDIMENT BARRIER - BALED STRAW
165-0085,EA,,"MAINTENANCE OF SILT CONTROL GATE, TP 1"
165-0086,EA,,"MAINTENANCE OF SILT CONTROL GATE, TP 2"
165-0087,EA,,"MAINTENANCE OF SILT CONTROL GATE, TP 3"
165-0095,EA,,"MAINTENANCE OF RETROFIT, STA NO -"
165-0096,EA,,MAINTENANCE OF RETROFIT-SLOTTED BOARD DAM W/ STONE FILTER
165-0101,EA,,MAINTENANCE OF CONSTRUCTION EXIT
165-0105,EA,,MAINTENANCE OF INLET SEDIMENT TRAP
165-0107,EA,,"MAINTENANCE OF TEMPORARY SEDIMENT TRAP, STA NO -"
165-0110,EA,,MAINTENANCE OF ROCK FILTER DAM
165-0111,EA,,MAINTENANCE OF STONE FILTER RING
165-0112,LF,,MAINTENANCE OF STONE FILTER BERM
165-0310,EA,,MAINTENANCE OF CONSTRUCTION EXIT TIRE WASH AREA (PER EACH)
165-1500,LF,,MAINTENANCE OF COMPOST FILTER SOCK (ALL SIZES)
166-0400,CY,* * * Requires Special Provision * * *,"RESTORATION OF LAKE, STA -"
166-0500,LS,,RESTORATION OF LAKE -
166-0651,EA,,"ALTERATION OF LAKE, STA -"
167-1000,EA,,WATER QUALITY MONITORING AND SAMPLING
167-1500,MO,,WATER QUALITY INSPECTIONS
169-0005,EA,* * * Requires Special Provision * * *,"BIORETENTION BASIN, NO. -"
169-0006,EA,,BIORETENTION BASIN MAINTENANCE
169-0010,EA,* * * Requires Special Provision * * *,"BIOSLOPE, NO. -"
169-0011,EA,* * * Requires Special Provision * * *,BIOSLOPE MAINTENANCE
169-0015,EA,* * * Requires Special Provision * * *,"DRY DETENTION BASIN, NO. -"
169-0016,EA,* * * Requires Special Provision * * *,DRY DETENTION BASIN MAINTENANCE
169-0020,EA,* * * Requires Special Provision * * *,"ENHANCED DRY SWALE, NO. -"
169-0021,EA,* * * Requires Special Provision * * *,ENHANCED DRY SWALE MAINTENANCE
169-0025,EA,* * * Requires Special Provision * * *,"ENHANCED WET SWALE, NO. -"
169-0026,EA,* * * Requires Special Provision * * *,ENHANCED WET SWALE MAINTENANCE
169-0030,EA,* * * Requires Special Provision * * *,"INFILTRATION TRENCH, NO. -"
169-0031,EA,* * * Requires Special Provision * * *,INFILTRATION TRENCH MAINTENANCE
169-0035,EA,* * * Requires Special Provision * * *,"SAND FILTER, NO. -"
169-0036,EA,* * * Requires Special Provision * * *,SAND FILTER MAINTENANCE
169-0040,EA,* * * Requires Special Provision * * *,"WET DETENTION POND, NO. -"
169-0041,EA,* * * Requires Special Provision * * *,WET DETENTION BASIN MAINTENANCE
170-1000,LF,,FLOATING SILT RETENTION BARRIER
170-2000,LF,,STAKED SILT RETENTION BARRIER
171-0010,LF,,"TEMPORARY SILT FENCE, TYPE A"
171-0020,LF,,"TEMPORARY SILT FENCE, TYPE B"
171-0030,LF,,"TEMPORARY SILT FENCE, TYPE C"
172-1000,SY,* * * Requires Special Provision * * *,TEMPORARY ARMOR MATS
201-1500,LS,,CLEARING & GRUBBING -
201-1600,LS,,"REMOVAL OF DRIFT MATERIAL, BR ID -"
202-1000,AC,,CLEARING AND GRUBBING
202-2100,LS,,CLEARING
203-1000,LF,* * * Requires Special Provision * * *,SOIL TEST BORING
203-2000,LF,* * * Requires Special Provision * * *,ROCK CORE DRILLING
203-2100,CY,* * * Requires Special Provision * * *,DREDGED SPOIL
204-0001,CY,,CHANNEL EXCAVATION
205-0001,CY,,UNCLASS EXCAV
205-0100,CY,,EXCAVATION BELOW GRADE & CRUSHED STONE REFILL
205-0200,CY,* * * Requires Special Provision * * *,EXCAVATION - COMMON
205-0210,CY,* * * Requires Special Provision * * *,EXCAVATION - ROCK
